name,email,contact_name,phone,website,address,rating,reviews_count,categories,confidence_score,latitude,longitude,hours,enriched_at,source_search,place_id
"Albarran & Mennie, P.C.",albarran.info@albarranlaw.com,,+1 (847) 782-1111,http://albarranlaw.com/,"204 N West St,Waukegan, IL 60085",4.9,331,Attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8:30\u202fAM""}",2025-09-23T23:28:38.415233,dba70c7a0a02,ChIJT1bzokLtD4gRb_DScoB_2Fk
Law Office Of Robert A. Stavins,sales@stavinslaw.com,,+1 (847) 263-4300,https://www.stavinslaw.com/,"325 Washington St Ste 205,Waukegan, IL 60085",4.7,109,Attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:28:43.725779,dba70c7a0a02,ChIJy1Xvj2ntD4gR_eTnLnRAjQ0
"Law Offices of Matthew M. Fakhoury, LLC - Skokie Office",hello@xpungechicago.com,,+1 (847) 920-4540,https://xpungechicago.com/,"10024 Skokie Blvd #210,Skokie, IL 60077",4.9,188,Trial attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:47.236065,dba70c7a0a02,ChIJX3Zbfo_FD4gRYkNuZ7ri8Y4
Bur-Men Law Group,office@burmenlawgroup.com,,+1 (224) 637-8872,http://www.burmenlawgroup.com/,"415 Washington St Suite 110,Waukegan, IL 60085",4.8,57,Law firm,1.00,,,"{""raw"": ""Closed \u22c5 Opens 8\u202fAM""}",2025-09-23T23:28:51.160512,dba70c7a0a02,ChIJy6Da9mntD4gR7tsj4eiJWMw
Schlack & Bassmaji,schlack@jonathanschlack.com,,+1 (312) 262-5211,https://www.jonathanschlack.com/?utm_source=GBP&utm_medium=GBP&utm_campaign=GBP_Waukegan&utm_id=GBP_Waukegan,"2835 Belvidere Rd Ste 203,Waukegan, IL 60085",5.0,90,Personal injury attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:28:54.786671,dba70c7a0a02,ChIJnc7woqiTD4gRB4k2bcQf7Vg
Law Office Of Judy K. Maldonado,hello@jkmlaw.com,,+1 (847) 379-7300,http://www.jkmlaw.com/,"1800 Nations Dr Ste 218,Gurnee, IL 60031",4.9,174,Legal services,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:29:00.930591,dba70c7a0a02,ChIJd2gNWQWOD4gR62YxDlOdfo8
"M&A Law Firm, P.C. Trial Lawyers",info@malawillinois.com,,+1 (855) 644-0965,http://malawillinois.com/,"1051 Perimeter Dr Suite 1110,Schaumburg, IL 60173",4.9,527,Law firm,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:29:05.059727,dba70c7a0a02,ChIJ13VdvwqpD4gR2AONV_jr2sM
Law Offices of Winer & Winer,office@winerlawoffice.com,,+1 (847) 336-9111,https://winerlawoffice.com/?utm_source=GMB&utm_medium=organic,"9 N County St Ste 100,Waukegan, IL 60085",4.8,96,Criminal justice attorney,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:29:09.499548,dba70c7a0a02,ChIJo5t4C2ntD4gRUs735tNqD80
The Heartland Law Firm,sales@heartlandlawfirm.com,,+1 (847) 729-3300,http://heartlandlawfirm.com/?utm_campaign=gmb,"1545 Waukegan Rd Suite 1-3,Glenview, IL 60025",4.9,208,Estate planning attorney,1.00,,,"{""raw"": ""Open 24 hours""}",2025-09-23T23:29:14.173360,dba70c7a0a02,ChIJtylAh1LGD4gRPOi4ccHCCHc
Andres Cerritos Law Offices,admin@andrescerritoslaw.com,,+1 (847) 693-1411,http://andrescerritoslaw.com/,"415 Washington St Ste 203,Waukegan, IL 60085",4.7,199,Law firm,1.00,,,"{""raw"": ""Closed \u22c5 Opens 9\u202fAM""}",2025-09-23T23:29:18.680119,dba70c7a0a02,ChIJcz_6tVTtD4gRQAMhR3rKfEo
